Enfoque,Descripcion,Justificación
Aprendizaje Basado en Juegos (ABJ),Integrar juegos estructurados para desarrollar conceptos matemáticos.,Promueve el aprendizaje lúdico y el desarrollo sensoriomotor.
Enfoque Sociocultural con Pertinencia Local,Vincular las matemáticas a prácticas culturales y económicas de la región.,Alinea con los lineamientos curriculares del MEN.
Resolución de Problemas Cotidianos,Plantear problemas reales del entorno para el desarrollo de habilidades matemáticas.,Desarrolla competencias para 'saber hacer' en contextos reales.
Manipulación de Material Concreto,Uso de objetos tangibles para enseñar operaciones básicas y geometría.,Favorece la etapa sensoriomotora y operacional concreta en niños.
Proyectos de Aula con Enfoque Investigativo,Diseñar secuencias didácticas basadas en preguntas de los niños.,Fortalece el eje investigativo y la sistematización de datos.
Modelación Matemática con Contextos Rurales,Representar matemáticamente situaciones del campo y la naturaleza.,Alinea con los Derechos Básicos de Aprendizaje (DBA).
Pensamiento Visible a través del Arte,"Uso de dibujos, música y danza para expresar conceptos matemáticos.",Fomenta la expresión creativa y la integración del arte con la matemática.
Aprendizaje Cooperativo con Roles Comunitarios,Trabajo en grupos con roles inspirados en la vida cotidiana.,Fomenta la comunicación matemática y la interdependencia positiva.
Enfoque Reggio Emilia Adaptado,Espacios de exploración autónoma con elementos naturales.,Empodera a los niños como constructores activos del conocimiento.
Integración de TIC con Recursos Accesibles,Uso de apps y herramientas digitales para reforzar conceptos matemáticos.,Desarrolla competencias digitales sin perder la reflexión crítica.
Teoría de los Registros de Representación Semiótica (Raymond Duval),Transformar y coordinar diferentes representaciones matemáticas.,Facilita la comprensión abstracta mediante múltiples registros.
